dataset,model,operator,fold,num_branches,residual_mode,best_epoch,best_test_acc,test_loss,runtime_seconds,total_params
PROTEINS,HorizontalRes,GCNConv,3,7,identity,70,0.7162162162162162,0.5956652760505676,209.06459546089172,89283
PROTEINS,HorizontalRes,GCNConv,3,8,identity,62,0.6846846846846847,0.6050945520401001,226.89925003051758,102019
PROTEINS,HorizontalRes,GCNConv,4,1,identity,12,0.6036036036036037,0.6550827622413635,13.980732917785645,12867
PROTEINS,HorizontalRes,GCNConv,4,2,identity,9,0.6711711711711712,0.6499346494674683,25.969855785369873,25603
PROTEINS,HorizontalRes,GCNConv,4,3,identity,24,0.6756756756756757,0.637218177318573,52.93102192878723,38339
PROTEINS,HorizontalRes,GCNConv,4,4,identity,10,0.6756756756756757,0.6517662405967712,76.34234523773193,51075
PROTEINS,HorizontalRes,GCNConv,4,5,identity,7,0.6666666666666666,0.640724241733551,100.67142748832703,63811
PROTEINS,HorizontalRes,GCNConv,4,6,identity,8,0.6576576576576577,0.6505900621414185,128.45573019981384,76547
PROTEINS,HorizontalRes,GCNConv,4,7,identity,8,0.6171171171171171,0.6482723355293274,113.26828098297119,89283
PROTEINS,HorizontalRes,GCNConv,4,8,identity,5,0.5990990990990991,0.6590031981468201,111.27122187614441,102019
PROTEINS,MatrixResGated,GCNConv,0,1,sparse,35,0.6591928251121076,0.6350535154342651,30.857627630233765,12867
PROTEINS,MatrixResGated,GCNConv,0,2,sparse,115,0.6905829596412556,0.6272310614585876,113.78936696052551,25603
PROTEINS,MatrixResGated,GCNConv,0,3,sparse,122,0.6860986547085202,0.627717137336731,193.67893719673157,38339
PROTEINS,MatrixResGated,GCNConv,0,4,sparse,47,0.6547085201793722,0.6238917708396912,170.26217246055603,51075
PROTEINS,MatrixResGated,GCNConv,0,5,sparse,114,0.6636771300448431,0.6310996413230896,328.5348951816559,63811
PROTEINS,MatrixResGated,GCNConv,0,6,sparse,103,0.6816143497757847,0.6287741661071777,389.8997094631195,76547
PROTEINS,MatrixResGated,GCNConv,0,7,sparse,139,0.695067264573991,0.6292673945426941,550.9994351863861,89283
PROTEINS,MatrixResGated,GCNConv,0,8,sparse,80,0.6771300448430493,0.627244770526886,443.78359866142273,102019
PROTEINS,MatrixResGated,GCNConv,1,1,sparse,158,0.7219730941704036,0.5884210467338562,62.107946157455444,12867
PROTEINS,MatrixResGated,GCNConv,1,2,sparse,86,0.7130044843049327,0.5959630012512207,97.91442084312439,25603
PROTEINS,MatrixResGated,GCNConv,1,3,sparse,127,0.726457399103139,0.5892115831375122,195.93191170692444,38339
PROTEINS,MatrixResGated,GCNConv,1,4,sparse,30,0.6995515695067265,0.6119593381881714,147.70598149299622,51075
PROTEINS,MatrixResGated,GCNConv,1,5,sparse,88,0.7219730941704036,0.5952286720275879,285.45191860198975,63811
PROTEINS,MatrixResGated,GCNConv,1,6,sparse,112,0.726457399103139,0.5932121872901917,408.464243888855,76547
PROTEINS,MatrixResGated,GCNConv,1,7,sparse,66,0.7219730941704036,0.5975777506828308,370.69246649742126,89283
PROTEINS,MatrixResGated,GCNConv,1,8,sparse,66,0.726457399103139,0.5938518643379211,374.2067403793335,102019
PROTEINS,MatrixResGated,GCNConv,2,1,sparse,83,0.726457399103139,0.5989267826080322,39.35040807723999,12867
PROTEINS,MatrixResGated,GCNConv,2,2,sparse,39,0.726457399103139,0.599007785320282,70.95217275619507,25603
PROTEINS,MatrixResGated,GCNConv,2,3,sparse,90,0.726457399103139,0.5981504321098328,163.9246871471405,38339
PROTEINS,MatrixResGated,GCNConv,2,4,sparse,55,0.7354260089686099,0.6019505858421326,178.10007190704346,51075
PROTEINS,MatrixResGated,GCNConv,2,5,sparse,47,0.7309417040358744,0.6062420606613159,215.5672869682312,63811
PROTEINS,MatrixResGated,GCNConv,2,6,sparse,74,0.7219730941704036,0.6068292260169983,330.50194787979126,76547
PROTEINS,MatrixResGated,GCNConv,2,7,sparse,46,0.7219730941704036,0.600746214389801,319.30737805366516,89283
PROTEINS,MatrixResGated,GCNConv,2,8,sparse,63,0.7219730941704036,0.6019243597984314,348.6103675365448,102019
PROTEINS,MatrixResGated,GCNConv,3,1,sparse,67,0.6891891891891891,0.5955290794372559,37.092120885849,12867
PROTEINS,MatrixResGated,GCNConv,3,2,sparse,82,0.7027027027027027,0.5979482531547546,96.90676188468933,25603
PROTEINS,MatrixResGated,GCNConv,3,3,sparse,39,0.7297297297297297,0.5923857688903809,111.28396201133728,38339
PROTEINS,MatrixResGated,GCNConv,3,4,sparse,47,0.6711711711711712,0.6123626828193665,162.2670624256134,51075
PROTEINS,MatrixResGated,GCNConv,3,5,sparse,89,0.7117117117117117,0.5974323749542236,290.89640712738037,63811
PROTEINS,MatrixResGated,GCNConv,3,6,sparse,66,0.6891891891891891,0.6132776737213135,313.8888165950775,76547
PROTEINS,MatrixResGated,GCNConv,3,7,sparse,79,0.6846846846846847,0.6036245226860046,393.52148365974426,89283
PROTEINS,MatrixResGated,GCNConv,3,8,sparse,81,0.6756756756756757,0.6054475903511047,358.65073561668396,102019
PROTEINS,MatrixResGated,GCNConv,4,1,sparse,13,0.6756756756756757,0.6476055383682251,23.925307750701904,12867
PROTEINS,MatrixResGated,GCNConv,4,2,sparse,10,0.5990990990990991,0.6482072472572327,57.76918649673462,25603
PROTEINS,MatrixResGated,GCNConv,4,3,sparse,18,0.6801801801801802,0.6318268775939941,96.1618447303772,38339
PROTEINS,MatrixResGated,GCNConv,4,4,sparse,9,0.5945945945945946,0.6481800079345703,119.26543736457825,51075
PROTEINS,MatrixResGated,GCNConv,4,5,sparse,9,0.6756756756756757,0.6342113614082336,155.48922419548035,63811
PROTEINS,MatrixResGated,GCNConv,4,6,sparse,9,0.5990990990990991,0.6477912664413452,190.19670224189758,76547
PROTEINS,MatrixResGated,GCNConv,4,7,sparse,12,0.6756756756756757,0.6366298198699951,226.23668551445007,89283
PROTEINS,MatrixResGated,GCNConv,4,8,sparse,4,0.6081081081081081,0.6630051136016846,197.70459866523743,102019
PROTEINS,MatrixRes,GCNConv,0,1,identity,35,0.6681614349775785,0.6391448378562927,32.269994020462036,12867
PROTEINS,MatrixRes,GCNConv,0,2,identity,115,0.6905829596412556,0.6239370703697205,107.15068697929382,25603
PROTEINS,MatrixRes,GCNConv,0,3,identity,85,0.6681614349775785,0.6211816668510437,170.2777500152588,38339
PROTEINS,MatrixRes,GCNConv,0,4,identity,115,0.6636771300448431,0.6221244931221008,285.3168911933899,51075
PROTEINS,MatrixRes,GCNConv,0,5,identity,57,0.6591928251121076,0.6281813383102417,259.019348859787,63811
PROTEINS,MatrixRes,GCNConv,0,6,identity,103,0.695067264573991,0.6204193234443665,449.5273416042328,76547
PROTEINS,MatrixRes,GCNConv,0,7,identity,96,0.6771300448430493,0.622276246547699,303.12684512138367,89283
PROTEINS,MatrixRes,GCNConv,0,8,identity,86,0.672645739910314,0.627991259098053,256.55265283584595,102019
PROTEINS,MatrixRes,GCNConv,1,1,identity,55,0.726457399103139,0.597801923751831,40.511271953582764,12867
PROTEINS,MatrixRes,GCNConv,1,2,identity,97,0.726457399103139,0.5947847366333008,97.96507120132446,25603
PROTEINS,MatrixRes,GCNConv,1,3,identity,200,0.7219730941704036,0.5864189863204956,255.07950162887573,38339
PROTEINS,MatrixRes,GCNConv,1,4,identity,149,0.7354260089686099,0.5893934369087219,335.3872456550598,51075
PROTEINS,MatrixRes,GCNConv,1,5,identity,95,0.7174887892376681,0.5951663255691528,325.78808212280273,63811
PROTEINS,MatrixRes,GCNConv,1,6,identity,112,0.726457399103139,0.593649685382843,487.10815238952637,76547
PROTEINS,MatrixRes,GCNConv,1,7,identity,60,0.7085201793721974,0.5953088402748108,196.4173767566681,89283
PROTEINS,MatrixRes,GCNConv,1,8,identity,68,0.726457399103139,0.5967769622802734,272.26476788520813,102019
PROTEINS,MatrixRes,GCNConv,2,1,identity,89,0.7354260089686099,0.5958720445632935,42.04005765914917,12867
PROTEINS,MatrixRes,GCNConv,2,2,identity,59,0.7130044843049327,0.6012387871742249,81.37321305274963,25603
PROTEINS,MatrixRes,GCNConv,2,3,identity,74,0.7443946188340808,0.5956892967224121,171.948632478714,38339
PROTEINS,MatrixRes,GCNConv,2,4,identity,55,0.7309417040358744,0.6003488898277283,210.2032928466797,51075
PROTEINS,MatrixRes,GCNConv,2,5,identity,40,0.7399103139013453,0.6045357584953308,219.22816801071167,63811
PROTEINS,MatrixRes,GCNConv,2,6,identity,83,0.726457399103139,0.5975006222724915,419.3884313106537,76547
PROTEINS,MatrixRes,GCNConv,2,7,identity,36,0.7219730941704036,0.6055759787559509,171.6696720123291,89283
PROTEINS,MatrixRes,GCNConv,2,8,identity,91,0.7354260089686099,0.602276086807251,327.9664297103882,102019
PROTEINS,MatrixRes,GCNConv,3,1,identity,78,0.7387387387387387,0.5864971280097961,39.96075892448425,12867
PROTEINS,MatrixRes,GCNConv,3,2,identity,63,0.6936936936936937,0.6011064052581787,80.44555759429932,25603
PROTEINS,MatrixRes,GCNConv,3,3,identity,39,0.6936936936936937,0.591357409954071,134.65099620819092,38339
PROTEINS,MatrixRes,GCNConv,3,4,identity,67,0.6846846846846847,0.5927773118019104,215.8999378681183,51075
PROTEINS,MatrixRes,GCNConv,3,5,identity,89,0.6981981981981982,0.5890264511108398,328.7954521179199,63811
PROTEINS,MatrixRes,GCNConv,3,6,identity,65,0.7117117117117117,0.5899730920791626,288.4263479709625,76547
PROTEINS,MatrixRes,GCNConv,3,7,identity,79,0.6891891891891891,0.5938119888305664,211.38697385787964,89283
PROTEINS,MatrixRes,GCNConv,3,8,identity,133,0.6756756756756757,0.5885834693908691,483.1108043193817,102019
PROTEINS,MatrixRes,GCNConv,4,1,identity,9,0.5855855855855856,0.6684808731079102,24.70340371131897,12867
PROTEINS,MatrixRes,GCNConv,4,2,identity,11,0.6666666666666666,0.6470662951469421,56.44407629966736,25603
PROTEINS,MatrixRes,GCNConv,4,3,identity,13,0.6621621621621622,0.6435997486114502,96.77102732658386,38339
PROTEINS,MatrixRes,GCNConv,4,4,identity,8,0.6621621621621622,0.645496666431427,125.18867349624634,51075
PROTEINS,MatrixRes,GCNConv,4,5,identity,14,0.6756756756756757,0.6326959133148193,178.4302408695221,63811
PROTEINS,MatrixRes,GCNConv,4,6,identity,14,0.6711711711711712,0.6382642388343811,146.92945528030396,76547
PROTEINS,MatrixRes,GCNConv,4,7,identity,12,0.6666666666666666,0.6424709558486938,125.52681088447571,89283
PROTEINS,MatrixRes,GCNConv,4,8,identity,23,0.6846846846846847,0.634726881980896,255.48149824142456,102019
