dataset,model,operator,fold,branches,residual_mode,mean_pairwise_distance,max_pairwise_distance,residual_count_total,residual_norm_pre_total,residual_norm_post_total,active_ratio_mean,gate_mean,mean_grad_norm,grad_max,grad_min,mean_cosine_branch,mean_cosine_depth,mean_cka_branch,mean_cka_depth
DD,MatrixResGated,GCNConv,2,B8,sparse,1.6887302568980627,2.741144895553589,86.0,16370.874145507812,11990.68388748169,0.2843615704733465,0.8077247142791748,0.007601824575377738,0.04162728786468506,0.0008832416497170925,0.8230087058618665,0.8896382119920518,0.9539458053186536,0.96552398469713
DD,MatrixResGated,GCNConv,3,B1,sparse,0.0,0.0,2.0,311.68121337890625,206.16466522216797,0.2296437124411265,0.8239069581031799,0.0656071251982616,0.2821151614189148,0.0020632208324968815,0.9999999403953552,0.7579203512933519,1.0,0.9023813803990682
DD,MatrixResGated,GCNConv,3,B2,sparse,0.24531085789203644,0.24531085789203644,14.0,2453.9670181274414,1778.8594665527344,0.28478210502200657,0.8565651178359985,0.14472621170183023,0.5714404582977295,0.01567014865577221,0.9963241219520569,0.8777392241689894,0.9998548924922943,0.8212766183747185
DD,MatrixResGated,GCNConv,3,B3,sparse,0.7645005981127421,0.8098421096801758,26.0,4543.103477478027,3383.267059326172,0.25212755379853424,0.8373282551765442,0.038806858960361706,0.1664210855960846,0.004818785469979048,0.9694128433863322,0.8472877674632602,0.993868907292684,0.8494338525666131
DD,MatrixResGated,GCNConv,3,B4,sparse,1.1112839182217915,1.4035873413085938,38.0,7123.963394165039,5359.0861167907715,0.2757012811799844,0.8351631164550781,0.02333775661126883,0.1073499247431755,0.0024675698950886726,0.9490998163819313,0.8722883992724948,0.9848149307072163,0.8779475490252177
DD,MatrixResGated,GCNConv,3,B5,sparse,1.3370562136173247,1.962167501449585,50.0,8777.789512634277,6576.862552642822,0.24684647954172562,0.8393308520317078,0.09111990308332624,0.4281751215457916,0.005801679566502571,0.920719678401947,0.8485271864467197,0.914040162563324,0.807400213347541
DD,MatrixResGated,GCNConv,3,B6,sparse,1.0427208145459492,1.519379734992981,62.0,9485.021713256836,6824.2310218811035,0.2263452628972354,0.8323603272438049,0.024134914444099802,0.11444160342216492,3.820993879344314e-05,0.9047253413332833,0.8698912196689181,0.9438539892435074,0.9170115987459818
DD,MatrixResGated,GCNConv,3,B7,sparse,1.42292735122499,2.253232955932617,74.0,12898.672149658203,9691.664596557617,0.23564171488322905,0.845294177532196,0.015991428706588016,0.0680200606584549,0.0013807835057377815,0.8981117971089422,0.8872709340519376,0.918056033095535,0.9093753298123678
DD,MatrixResGated,GCNConv,3,B8,sparse,1.5945388759885515,2.7731590270996094,86.0,15696.774055480957,11804.964241027832,0.2599120342276162,0.8381301760673523,0.018551370312172154,0.09032250195741653,0.0004768023791257292,0.889603627845645,0.8735447194841173,0.8991479715332389,0.879644493261973
DD,MatrixResGated,GCNConv,4,B1,sparse,0.0,0.0,2.0,366.75770568847656,246.75889587402344,0.2788017491499583,0.811543881893158,0.04902725336917987,0.20595446228981018,0.0008747606771066785,0.9999999403953552,0.7919887105623881,1.0,0.9728115399678549
DD,MatrixResGated,GCNConv,4,B2,sparse,0.3364222049713135,0.3364222049713135,14.0,2507.5720443725586,1755.5989799499512,0.3389221280813217,0.8089380264282227,0.03488194774836302,0.1041964441537857,0.01050692331045866,0.9916324615478516,0.8859289884567261,0.9999720305204391,0.9751936594645182
DD,MatrixResGated,GCNConv,4,B3,sparse,0.9570237199465433,0.9985864758491516,26.0,5515.323196411133,4043.9621047973633,0.37990282282785137,0.8058779239654541,0.015945559544932274,0.049584079533815384,0.0030715337488800287,0.9708238442738851,0.8682254089249505,0.9986584848827786,0.9674815800454881
DD,MatrixResGated,GCNConv,4,B4,sparse,1.3613144755363464,1.7956830263137817,38.0,7567.535942077637,5409.403667449951,0.3762742462671466,0.8044455647468567,0.030416349052555032,0.10960592329502106,0.007053621578961611,0.921260379254818,0.8813019726011488,0.9878495708107948,0.9622742070092095
DD,MatrixResGated,GCNConv,4,B5,sparse,1.182214230298996,1.936694622039795,50.0,8184.111831665039,5586.406890869141,0.3069143856234021,0.8044419288635254,0.017570084426552057,0.08874727040529251,0.0020548803731799126,0.8996081638336182,0.8457271589173211,0.9816249203681946,0.9580760796864828
DD,MatrixResGated,GCNConv,4,B6,sparse,1.3286703864733378,2.027827501296997,62.0,10410.387069702148,7225.119556427002,0.30063884743937735,0.8065634369850159,0.020170284199337356,0.09609518945217133,0.0018158095190301538,0.8896971262163587,0.8829978240860833,0.9864958673715591,0.964942647351159
