artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,residual_sites,residual_count_total,residual_norm_pre_total,residual_norm_post_total,active_ratio_mean,gate_mean
residual_stats,DD,MatrixResGated,GCNConv,4,B4,sparse,20260507_101458,12,38.0,7567.535942077637,5409.403667449951,0.3762742462671466,0.8044455647468567
residual_stats,DD,MatrixResGated,GCNConv,4,B5,sparse,20260507_102044,15,50.0,8184.111831665039,5586.406890869141,0.3069143856234021,0.8044419288635254
residual_stats,DD,MatrixResGated,GCNConv,4,B6,sparse,20260507_102716,18,62.0,10410.387069702148,7225.119556427002,0.30063884743937735,0.8065634369850159
residual_stats,DD,MatrixResGated,GCNConv,4,B7,sparse,20260507_103440,21,74.0,14532.911819458008,10391.655666351318,0.3624948567814297,0.8033183217048645
residual_stats,DD,MatrixResGated,GCNConv,4,B8,sparse,20260507_104131,24,86.0,14225.695419311523,9972.014953613281,0.2842403040577968,0.8053764700889587
residual_stats,DD,MatrixRes,GCNConv,0,B1,identity,20260507_091148,3,2.0,298.4343490600586,298.4343490600586,0.38907602429389954,0.8040698170661926
residual_stats,DD,MatrixRes,GCNConv,0,B2,identity,20260507_091452,6,14.0,2851.3056106567383,2851.3056106567383,0.5211780534850227,0.8289589881896973
residual_stats,DD,MatrixRes,GCNConv,0,B3,identity,20260506_220130,9,26.0,4114.572998046875,4114.572998046875,0.6255771867654941,0.7995734214782715
residual_stats,DD,MatrixRes,GCNConv,0,B3,identity,20260506_223200,9,26.0,4986.759716033936,4986.759716033936,0.43659580647945406,0.8307088017463684
residual_stats,DD,MatrixRes,GCNConv,0,B3,identity,20260507_082526,9,26.0,6105.587753295898,6105.587753295898,0.6118343769400209,0.8181641101837158
residual_stats,DD,MatrixRes,GCNConv,0,B3,identity,20260507_082557,9,26.0,5058.32780456543,5058.32780456543,0.34967393295632465,0.8204605579376221
residual_stats,DD,MatrixRes,GCNConv,0,B3,identity,20260507_082600,9,26.0,4983.937397003174,4983.937397003174,0.43125804309491755,0.831409215927124
residual_stats,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083013,9,26.0,4502.9440631866455,4502.9440631866455,0.15821528088439393,0.8256061673164368
residual_stats,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083052,9,26.0,6139.331741333008,6139.331741333008,0.5329144699705971,0.8327391743659973
residual_stats,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083113,9,26.0,5273.787128448486,5273.787128448486,0.428835590073356,0.8395158648490906
residual_stats,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083510,9,26.0,4534.010536193848,4534.010536193848,0.3805111213966652,0.8245998620986938
residual_stats,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083551,9,26.0,3908.48282623291,3908.48282623291,0.3305856866417108,0.8149014711380005
residual_stats,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083601,9,26.0,4130.395210266113,4130.395210266113,0.4822916587193807,0.8386438488960266
residual_stats,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083936,9,26.0,5270.427219390869,5270.427219390869,0.4267139481725516,0.8399858474731445
residual_stats,DD,MatrixRes,GCNConv,0,B3,identity,20260507_084252,9,26.0,6108.217842102051,6108.217842102051,0.42556179546647604,0.8190203309059143
residual_stats,DD,MatrixRes,GCNConv,0,B3,identity,20260507_091841,9,26.0,4850.338401794434,4850.338401794434,0.42744318787698393,0.8299462795257568
residual_stats,DD,MatrixRes,GCNConv,0,B4,identity,20260507_092313,12,38.0,7106.013427734375,7106.013427734375,0.44360468238592143,0.8346319794654846
residual_stats,DD,MatrixRes,GCNConv,0,B5,identity,20260507_092952,15,50.0,8013.365962982178,8013.365962982178,0.37485077672534517,0.8368681073188782
residual_stats,DD,MatrixRes,GCNConv,0,B6,identity,20260507_093718,18,62.0,11651.225570678711,11651.225570678711,0.41829281623164816,0.824548065662384
residual_stats,DD,MatrixRes,GCNConv,0,B7,identity,20260507_094819,21,74.0,13605.498001098633,13605.498001098633,0.40406492373773034,0.8447295427322388
residual_stats,DD,MatrixRes,GCNConv,0,B8,identity,20260507_095714,24,86.0,16062.606370925903,16062.606370925903,0.42911982677049104,0.834820032119751
residual_stats,DD,MatrixRes,GCNConv,1,B1,identity,20260507_091301,3,2.0,279.31825256347656,279.31825256347656,0.36441226800282794,0.8110581040382385
residual_stats,DD,MatrixRes,GCNConv,1,B2,identity,20260507_091548,6,14.0,2804.6611976623535,2804.6611976623535,0.4636643181244533,0.8462057709693909
residual_stats,DD,MatrixRes,GCNConv,1,B3,identity,20260506_223212,9,26.0,5587.416519165039,5587.416519165039,0.4736568518258907,0.8368169665336609
residual_stats,DD,MatrixRes,GCNConv,1,B3,identity,20260507_091915,9,26.0,5629.0163497924805,5629.0163497924805,0.4855217794577281,0.8273196816444397
residual_stats,DD,MatrixRes,GCNConv,1,B4,identity,20260507_092428,12,38.0,7987.92094039917,7987.92094039917,0.4388862190975083,0.8270173072814941
residual_stats,DD,MatrixRes,GCNConv,1,B5,identity,20260507_093055,15,50.0,10038.153846740723,10038.153846740723,0.4380435868766573,0.833602249622345
residual_stats,DD,MatrixRes,GCNConv,1,B6,identity,20260507_094006,18,62.0,12521.03974533081,12521.03974533081,0.42832210152237504,0.8361095190048218
residual_stats,DD,MatrixRes,GCNConv,1,B7,identity,20260507_094832,21,74.0,14428.967784881592,14428.967784881592,0.4460258350485847,0.8257313370704651
